_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
2406115,5156053,2023.0,,2018.0,PRIVATE,12,Toronto-St. Paul's,109 VAUGHAN RD,9,51,2023-01-19,96,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S1229,43.6841957137,-79.4209646641,311156.469,4838029.782
2406116,5199841,,,2021.0,PRIVATE,3,Etobicoke-Lakeshore,5249 DUNDAS ST W,42,333,2023-01-19,99,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,W0323,,,301782.82,4832967.103
2406117,5144485,2022.0,,2021.0,PRIVATE,4,Parkdale-High Park,50 HIGH PARK AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S0428,43.655497931999996,-79.466564069,307481.141,4834840.141
2406118,5144479,2022.0,,2020.0,PRIVATE,4,Parkdale-High Park,55 QUEBEC AVE,25,264,2023-01-18,98,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,3.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,S0428,,,307442.641,4834735.62
2406119,5156165,2022.0,,1960.0,PRIVATE,20,Scarborough Southwest,568 BIRCHMOUNT RD,7,61,2023-01-18,83,Evaluation needs to be conducted in 2 years,19,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,,E2029,43.7127945342,-79.2713034993,323213.731,4841229.257
2406120,4155235,2017.0,,1958.0,PRIVATE,3,Etobicoke-Lakeshore,169 BERRY RD,4,25,2022-12-30,81,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,3.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,,W0329,43.637123520500005,-79.4874115114,305800.066,4832797.477
2406121,4156367,2017.0,,1954.0,PRIVATE,5,York South-Weston,4 GREENBROOK DR,3,23,2022-12-30,79,Evaluation needs to be conducted in 2 years,15,3.0,5.0,5.0,3.0,4.0,3.0,,4.0,,,4.0,3.0,5.0,4.0,4.0,5.0,,4.0,3.0,,W0532,43.697269463999994,-79.47635433880001,306690.437,4839479.496
2406122,4155297,2017.0,,1960.0,PRIVATE,3,Etobicoke-Lakeshore,2645 BLOOR ST W,5,42,2022-12-30,91,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,,W0327,43.648946892,-79.494356545,305239.348,4834111.89
2406123,4155295,2017.0,,1927.0,PRIVATE,3,Etobicoke-Lakeshore,2651 BLOOR ST W,4,34,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3.0,4.0,5.0,3.0,2.0,4.0,,4.0,,3.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,,W0327,43.649230274,-79.49533657100001,305160.274,4834143.367
2406124,4155294,2017.0,,1940.0,PRIVATE,3,Etobicoke-Lakeshore,2655 BLOOR ST W,5,45,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,3.0,2.0,,4.0,,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,,W0327,43.6494614357,-79.495683937,305101.599,4834184.1389999995
2406125,4155488,2017.0,,1955.0,PRIVATE,3,Etobicoke-Lakeshore,2532 LAKE SHORE BLVD W,4,46,2022-12-30,75,Evaluation needs to be conducted in 2 years,15,5.0,4.0,5.0,3.0,3.0,2.0,,4.0,,,3.0,4.0,4.0,5.0,3.0,4.0,,4.0,3.0,,W0336,43.6109821847,-79.4903809388,305560.767,4829893.29
2406126,4155234,2017.0,,1947.0,PRIVATE,3,Etobicoke-Lakeshore,3 NEWHOLM RD,4,25,2022-12-30,79,Evaluation needs to be conducted in 2 years,17,4.0,5.0,5.0,4.0,4.0,4.0,,3.0,,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,,W0329,43.6360787547,-79.48763013840001,305782.438,4832681.407
2406127,4155233,2017.0,,1955.0,PRIVATE,3,Etobicoke-Lakeshore,5 NEWHOLM RD,4,27,2022-12-30,68,Evaluation needs to be conducted in 2 years,17,3.0,3.0,5.0,3.0,4.0,4.0,,4.0,,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,,W0329,43.635644689799996,-79.4874066551,305800.477,4832633.187
2406128,4155474,2017.0,,1970.0,PRIVATE,3,Etobicoke-Lakeshore,2377 LAKE SHORE BLVD W,4,23,2022-12-30,72,Evaluation needs to be conducted in 2 years,18,4.0,3.0,5.0,4.0,4.0,2.0,,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,,W0336,43.6154404667,-79.4878892475,305761.833,4830388.607
2406129,4155481,2017.0,,1957.0,PRIVATE,3,Etobicoke-Lakeshore,2303 LAKE SHORE BLVD W,4,38,2022-12-30,96,Evaluation needs to be conducted in 3 years,15,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,,,5.0,5.0,5.0,5.0,4.0,5.0,,4.0,5.0,,W0336,43.6181573986,-79.48620440270001,305864.468,4830685.073
2406130,4155480,2017.0,,1954.0,PRIVATE,3,Etobicoke-Lakeshore,2309 LAKE SHORE BLVD W,4,28,2022-12-30,70,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,3.0,3.0,4.0,,3.0,,2.0,3.0,4.0,5.0,4.0,3.0,4.0,,4.0,4.0,,W0336,43.6177159242,-79.4864921975,305843.963,4830639.407
2406131,4155477,2017.0,,1958.0,PRIVATE,3,Etobicoke-Lakeshore,2355 LAKE SHORE BLVD W,4,86,2022-12-30,69,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,2.0,2.0,2.0,,3.0,4.0,,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,,W0336,43.61606574100001,-79.48769627729999,305777.4,4830458.074
2406132,4155476,2017.0,,1960.0,PRIVATE,3,Etobicoke-Lakeshore,2361 LAKE SHORE BLVD W,4,47,2022-12-30,82,Evaluation needs to be conducted in 2 years,17,4.0,5.0,5.0,4.0,3.0,4.0,,3.0,5.0,,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,,W0336,43.6158682454,-79.4878084713,305768.347,4830436.132
2406133,4155475,2017.0,,1959.0,PRIVATE,3,Etobicoke-Lakeshore,2369 LAKE SHORE BLVD W,4,87,2022-12-30,74,Evaluation needs to be conducted in 2 years,17,3.0,3.0,5.0,3.0,4.0,4.0,,3.0,5.0,,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,,W0336,43.615736635,-79.48788213569999,305762.403,4830421.51
2406134,4155494,2017.0,,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2547 LAKE SHORE BLVD W,4,26,2022-12-30,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,3.0,3.0,,4.0,,4.0,4.0,5.0,5.0,3.0,5.0,3.0,,4.0,3.0,,W0336,43.609303546999996,-79.4892009672,305656.036,4829706.813
2406135,4154231,2017.0,,1970.0,PRIVATE,7,Humber River-Black Creek,2940 JANE ST,13,153,2022-12-30,82,Evaluation needs to be conducted in 2 years,18,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0729,43.753728376000005,-79.51778801020001,303352.137,4845751.71
2406136,4154233,2017.0,,1970.0,PRIVATE,7,Humber River-Black Creek,2970 JANE ST,14,164,2022-12-30,86,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0729,43.7553825332,-79.5178201808,303349.587,4845935.472
2406137,4155473,2017.0,,1959.0,SOCIAL HOUSING,3,Etobicoke-Lakeshore,110 STANLEY AVE,3,16,2022-12-30,74,Evaluation needs to be conducted in 2 years,16,3.0,3.0,4.0,3.0,4.0,2.0,,5.0,,,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,,W0336,43.615136766499994,-79.49497407060001,305189.979,4830354.824
2406138,4156439,2017.0,,1993.0,SOCIAL HOUSING,5,York South-Weston,33 GABIAN WAY,18,248,2022-12-30,89,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,,4.0,2.0,5.0,W0533,43.6931197205,-79.46886392319999,307294.354,4839018.662
2406139,4155227,2017.0,,1957.0,PRIVATE,3,Etobicoke-Lakeshore,301 PARK LAWN RD,4,25,2022-12-30,76,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,3.0,4.0,5.0,,4.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,,W0329,43.6350512379,-79.49246019479999,305392.658,4832567.215
2406140,4153885,2017.0,,1955.0,PRIVATE,12,Toronto-St. Paul's,567 AVENUE RD,11,63,2022-12-30,91,Evaluation needs to be conducted in 3 years,18,4.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,,S1232,43.688402926,-79.40160629399999,312716.44899999996,4838499.822
2406141,4156565,2017.0,,1968.0,PRIVATE,5,York South-Weston,15 HARDING AVE,19,335,2022-12-30,74,Evaluation needs to be conducted in 2 years,20,5.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,W0528,,,304655.788,4839682.129
2406142,4154257,2017.0,,1960.0,PRIVATE,7,Humber River-Black Creek,3 DAMASK AVE,3,10,2022-12-30,83,Evaluation needs to be conducted in 2 years,15,3.0,5.0,5.0,3.0,3.0,5.0,,4.0,,,3.0,5.0,5.0,4.0,5.0,5.0,,3.0,4.0,,W0728,43.7416935323,-79.5396641026,301589.804,4844415.3319999995
2406143,4290959,2018.0,,1962.0,PRIVATE,3,Etobicoke-Lakeshore,25 ELIZABETH ST,3,29,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,4.0,,3.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,,,W0336,43.6135850358,-79.4949390042,305192.817,4830182.433
2406144,4152901,2017.0,,1957.0,PRIVATE,4,Parkdale-High Park,9 MORNINGSIDE AVE,4,36,2022-12-29,75,Evaluation needs to be conducted in 2 years,15,3.0,4.0,4.0,3.0,4.0,2.0,,4.0,4.0,,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,S0430,43.645605233000005,-79.473469677,306924.468,4833740.943
2406145,4152933,2017.0,,1973.0,PRIVATE,4,Parkdale-High Park,299 GLENLAKE AVE,30,233,2022-12-29,81,Evaluation needs to be conducted in 2 years,19,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,,S0428,43.656888484,-79.465364295,307575.602,4834997.723
2406146,4155256,2017.0,,1962.0,PRIVATE,3,Etobicoke-Lakeshore,3 HILL HEIGHTS RD,4,38,2022-12-29,74,Evaluation needs to be conducted in 2 years,17,3.0,4.0,5.0,3.0,3.0,4.0,,4.0,,2.0,3.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,,W0327,43.638204565900004,-79.49316808350001,305335.532,4832917.528
2406147,4152941,2017.0,,1958.0,PRIVATE,4,Parkdale-High Park,205 KEELE ST,4,42,2022-12-29,71,Evaluation needs to be conducted in 2 years,15,5.0,4.0,5.0,3.0,3.0,2.0,,3.0,,,4.0,4.0,5.0,3.0,3.0,3.0,,3.0,3.0,,S0429,43.65971467560001,-79.4617878892,307866.434,4835307.806
2406148,4152911,2017.0,,1960.0,PRIVATE,4,Parkdale-High Park,111 RUNNYMEDE RD,4,16,2022-12-29,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,4.0,3.0,2.0,,4.0,,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,,,S0430,43.6505719581,-79.4757413114,306741.31899999996,4834291.715
2406149,4155482,2017.0,,1951.0,PRIVATE,3,Etobicoke-Lakeshore,51 STANLEY AVE,3,12,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4.0,4.0,5.0,5.0,3.0,5.0,,5.0,,4.0,5.0,5.0,3.0,4.0,4.0,4.0,,5.0,4.0,,W0336,43.6160393846,-79.4896739143,305617.776,4830455.127
2406150,4155410,2017.0,,1962.0,PRIVATE,2,Etobicoke Centre,416 THE WESTWAY,9,103,2022-12-29,69,Evaluation needs to be conducted in 2 years,18,3.0,3.0,4.0,3.0,4.0,4.0,,2.0,4.0,5.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,,W0221,43.684052754700005,-79.565694704,299487.999,4838013.037
2406151,4153569,2017.0,,1988.0,SOCIAL HOUSING,13,Toronto Centre,223 SHERBOURNE ST,6,60,2022-12-29,54,Evaluation needs to be conducted in 1 year,17,2.0,3.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,,1.0,2.0,3.0,3.0,2.0,4.0,,4.0,,3.0,S1329,43.6582200015,-79.3706451728,315217.87,4835149.078
2406152,4155226,2017.0,,1947.0,PRIVATE,3,Etobicoke-Lakeshore,285 PARK LAWN RD,4,29,2022-12-29,73,Evaluation needs to be conducted in 2 years,17,3.0,4.0,4.0,3.0,4.0,3.0,,3.0,,3.0,3.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,,W0329,43.63456194649999,-79.4922664925,305408.295,4832512.859
2406153,4155211,2017.0,,1949.0,PRIVATE,3,Etobicoke-Lakeshore,2690 BLOOR ST W,4,18,2022-12-29,81,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,3.0,4.0,,W0322,43.6503326449,-79.49736598930001,304996.803,4834264.87
2406154,4155212,2017.0,,1949.0,PRIVATE,3,Etobicoke-Lakeshore,2692-2694 BLOOR ST W,4,40,2022-12-29,79,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,3.0,3.0,,4.0,,,4.0,5.0,5.0,4.0,4.0,4.0,,3.0,3.0,,W0322,43.6502825734,-79.4978680746,304956.297,4834259.305
2406155,4152903,2017.0,,1940.0,PRIVATE,4,Parkdale-High Park,2555 BLOOR ST W,4,34,2022-12-29,82,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,5.0,3.0,4.0,,5.0,,4.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,,S0430,43.6476402456,-79.4906914801,305535.289,4833965.806
2406156,4281915,2017.0,,1952.0,PRIVATE,2,Etobicoke Centre,6 BEXHILL CRT,4,13,2022-12-29,84,Evaluation needs to be conducted in 2 years,15,4.0,5.0,5.0,4.0,3.0,2.0,,4.0,,4.0,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.662044955,-79.521338721,303063.01,4835567.277
2406157,4281929,2017.0,,1952.0,PRIVATE,2,Etobicoke Centre,7 BEXHILL CRT,4,13,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,2.0,,4.0,,4.0,4.0,4.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.661751009,-79.521325389,303064.075,4835534.621
2406158,4156523,2017.0,,1950.0,PRIVATE,2,Etobicoke Centre,4750 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5.0,4.0,5.0,4.0,4.0,2.0,,4.0,,,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.652601481000005,-79.525645179,302689.55199999997,4834490.961
2406159,4156289,2017.0,,1950.0,PRIVATE,2,Etobicoke Centre,4752 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5.0,4.0,5.0,4.0,4.0,2.0,,4.0,,,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.652394933000004,-79.525845839,302688.053,4834472.61
2406160,4156225,2017.0,,1950.0,PRIVATE,2,Etobicoke Centre,4754 DUNDAS ST W,4,14,2022-12-29,86,Evaluation needs to be conducted in 3 years,14,5.0,4.0,5.0,4.0,4.0,2.0,,4.0,,,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,,,W0229,43.652203577,-79.525983776,302683.101,4834465.154
2406161,4155210,2017.0,,1949.0,PRIVATE,3,Etobicoke-Lakeshore,2688 BLOOR ST W,4,21,2022-12-29,83,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,,,4.0,5.0,5.0,4.0,4.0,5.0,,3.0,4.0,,W0322,43.65031426189999,-79.4971169059,305016.898,4834262.829
2406162,4152898,2020.0,,1958.0,PRIVATE,4,Parkdale-High Park,93 COE HILL DR,4,33,2022-12-29,80,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,3.0,3.0,4.0,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,S0430,43.641442247600004,-79.4724449481,307007.54600000003,4833277.515
2406163,4152905,2017.0,,1993.0,SOCIAL HOUSING,4,Parkdale-High Park,93 LAVINIA AVE,5,68,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,S0430,43.6473083382,-79.4777129608,306582.355,4833929.1
2406164,4155375,2017.0,,1965.0,PRIVATE,2,Etobicoke Centre,287 MARKLAND DR,10,118,2022-12-29,80,Evaluation needs to be conducted in 2 years,19,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,,W0233,43.6275335945,-79.5780494311,298485.94899999996,4831734.901000001
2406165,4155237,2017.0,,1958.0,PRIVATE,3,Etobicoke-Lakeshore,8 NEWHOLM RD,4,26,2022-12-29,76,Evaluation needs to be conducted in 2 years,17,4.0,4.0,3.0,3.0,3.0,3.0,,3.0,,3.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,,W0329,43.635482222700006,-79.4882224103,305734.649,4832615.13
2406166,4153574,2017.0,,1991.0,SOCIAL HOUSING,13,Toronto Centre,330 DUNDAS ST E,4,29,2022-12-29,60,Evaluation needs to be conducted in 1 year,15,3.0,3.0,5.0,3.0,3.0,3.0,,4.0,,,3.0,3.0,1.0,2.0,2.0,2.0,,4.0,,4.0,S1329,43.65874826859999,-79.3702105377,315252.836,4835207.824
2406167,4155228,2018.0,,1962.0,PRIVATE,3,Etobicoke-Lakeshore,9 KINSDALE BLVD,4,23,2022-12-29,86,Evaluation needs to be conducted in 3 years,16,4.0,4.0,5.0,5.0,5.0,4.0,,4.0,,4.0,4.0,5.0,5.0,3.0,4.0,5.0,,4.0,4.0,,W0329,43.6352649375,-79.4919665857,305432.484,4832590.959
2406168,4155305,2017.0,,1979.0,TCHC,3,Etobicoke-Lakeshore,41 MABELLE AVE,19,350,2022-12-29,91,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,W0321,43.6448379761,-79.5277127601,302548.527,4833654.887
2406169,4820405,2022.0,,1950.0,PRIVATE,3,Etobicoke-Lakeshore,2513 LAKE SHORE BLVD W,3,11,2022-12-29,81,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,,4.0,4.0,5.0,5.0,4.0,4.0,4.0,,4.0,,,W0336,43.6117781476,-79.4895548881,305627.437,4829981.725
2406170,4155302,2017.0,,1974.0,PRIVATE,3,Etobicoke-Lakeshore,52 MABELLE AVE,22,310,2022-12-29,77,Evaluation needs to be conducted in 2 years,19,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,,W0321,43.6464029439,-79.5294506955,302408.377,4833828.787
2406171,4155221,2017.0,,1970.0,PRIVATE,3,Etobicoke-Lakeshore,620 EVANS AVE,3,25,2022-12-29,71,Evaluation needs to be conducted in 2 years,17,4.0,2.0,5.0,4.0,3.0,3.0,,4.0,,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,,W0330,43.610802275,-79.550398922,300715.86600000004,4829875.377
2406172,4152620,2017.0,,1956.0,PRIVATE,20,Scarborough Southwest,68 HARRIS PARK DR,3,11,2022-12-28,78,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,2.0,3.0,4.0,5.0,3.0,4.0,4.0,,4.0,4.0,4.0,E2021,43.722488216,-79.2987114556,321002.536,4842300.513
2406173,4155489,2017.0,,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2561 LAKE SHORE BLVD W,4,14,2022-12-28,81,Evaluation needs to be conducted in 2 years,14,4.0,4.0,5.0,4.0,,3.0,,4.0,,,4.0,5.0,5.0,4.0,5.0,3.0,,4.0,3.0,,W0336,43.6088644692,-79.4900435258,305588.026,4829658.026000001
2406174,4155285,2017.0,,1950.0,PRIVATE,3,Etobicoke-Lakeshore,6 KINGS POINT DR,3,16,2022-12-28,68,Evaluation needs to be conducted in 2 years,17,3.0,3.0,4.0,3.0,3.0,4.0,,4.0,,4.0,2.0,4.0,5.0,2.0,4.0,2.0,4.0,3.0,4.0,,W0327,43.639609569499996,-79.49364600310001,305296.993,4833073.615
